,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
241,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4322,0.5,CCCCCCCCCCCC,0.5678,430.0,Speceis,21.0,6.18,±9.3,Stanford,15.3,,CH,1118,±1,1081
260,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8835,0.71,CCCCCCCCCCCCCCCC,0.1165,431.0,Species,4.0,1.96,,Stanford,15.3,±2,CH,1218,±2,2657
261,blend_surrogate_fuels,N2,77.526,1.0,CCCCCCC,1.874,306.7,Species,20.6,1.97,,Stanford,5.0,,OH,1249,±1.8,298
266,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,2.0,±1,Stanford,15.3,±5,CH,1454,±1,170
276,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1.0,CCCCCC,0.42,306.0,Species,4.0,3.43,±1,Stanford,14.13,±3,OH,1407,±0.7,263
281,blend_surrogate_fuels,N2,77.526,1.0,CCCCCCC,1.874,306.7,Species,20.6,11.24,,Stanford,5.0,,OH,1236,±1.8,207
290,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1175,,675
293,n_Dodecane / Vasu_2010_thesis,N2,96.175,0.5,CCCCCCCCCCCC,0.1,306.0,Species,3.725,16.13,,Stanford,5.0,±5,OH,1211,±1,534
300,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,20.3,,Stanford,5.0,±5,OH,996,±1,1245
301,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.0703,0.82,CCCCCCCCCCCC,0.9297,430.0,Speceis,21.0,5.0,±9.3,Stanford,15.3,,CH,903,±1,7825
302,n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,19.6,,Stanford,5.0,±5,OH,1087,±1,527
305,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,1.87,±1,Stanford,14.13,±3,OH,1455,±0.7,166
307,n_Dodecane / Vasu_2010_thesis,N2,97.139,0.5,CCCCCCCCCCCC,0.075,306.0,Species,2.786,15.45,,Stanford,5.0,±5,OH,1221,±1,685
308,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.4,2.0,CCCCCCC,0.4,431.0,Species,2.2,1.22,,Stanford,15.3,±5,CH,1619,±1,210
312,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.9091,0.56,CCCCCCCCCCCCCCCC,0.0909,431.0,Species,4.0,1.91,,Stanford,15.3,±2,CH,1212,±2,2270
361,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1.0,CCCCCC,0.42,306.0,Species,4.0,3.1,±1,Stanford,14.13,±3,OH,1250,±0.7,1805
364,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2.0,CCCC,1.0,431.0,Speceis,3.25,1.13,±1,Stanford,15.3,±5,CH,1618,±1,218
366,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2.0,CCCC,1.0,431.0,Speceis,3.25,1.13,±1,Stanford,15.3,±5,CH,1577,±1,304
368,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.5121,0.43,CCCCCCCCCCCC,0.4879,430.0,Speceis,21.0,8.63,±9.3,Stanford,15.3,,CH,1220,±1,292
