,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
170,0.0984,0.7179,-0.7237,1.659,0.6282
171,0.0996,0.7158,-0.707,1.6682,0.6199
172,0.0976,0.7174,-0.7288,1.6485,0.6366
173,0.0983,0.7195,-0.7595,1.6356,0.628
174,0.0973,0.7184,-0.7429,1.6575,0.6235
175,0.0986,0.7175,-0.7398,1.6408,0.6332
176,0.097,0.7182,-0.7543,1.6453,0.6194
177,0.0973,0.7163,-0.7779,1.6049,0.6262
178,0.0965,0.7168,-0.7402,1.6477,0.6276
179,0.0985,0.7178,-0.7336,1.6562,0.6242
180,0.0982,0.7166,-0.7382,1.645,0.6206
181,0.0996,0.7172,-0.7231,1.6551,0.6023
182,0.0955,0.7184,-0.8218,1.5897,0.6358
183,0.0974,0.7195,-0.7385,1.6629,0.6314
184,0.0984,0.7186,-0.7249,1.6641,0.6176
185,0.0988,0.7172,-0.7509,1.6305,0.628
186,0.0971,0.7177,-0.751,1.6436,0.6102
187,0.0981,0.7174,-0.7288,1.6554,0.6259
188,0.0985,0.7184,-0.7254,1.6601,0.6234
189,0.0984,0.7171,-0.7263,1.6555,0.622
190,0.0991,0.7178,-0.7276,1.6544,0.6148
191,0.0974,0.7196,-0.7326,1.6612,0.6268
192,0.0988,0.7178,-0.7326,1.6404,0.621
193,0.0966,0.7191,-0.76,1.6455,0.6177
194,0.0975,0.7185,-0.7423,1.6549,0.6183
195,0.0973,0.7178,-0.7791,1.6235,0.6205
196,0.0981,0.7181,-0.7298,1.6536,0.6311
197,0.0979,0.7181,-0.7322,1.6599,0.6256
198,0.0986,0.7177,-0.7366,1.6537,0.6248
199,0.0992,0.7165,-0.708,1.6585,0.621
200,0.0979,0.7176,-0.7574,1.6476,0.6232
201,0.0971,0.7193,-0.7473,1.6555,0.6031
202,0.0991,0.7172,-0.7398,1.6412,0.6248
203,0.0984,0.7164,-0.7518,1.6364,0.6215
204,0.0981,0.7184,-0.7254,1.6643,0.6227
205,0.0959,0.7184,-0.758,1.6579,0.638
206,0.0966,0.7185,-0.7503,1.6586,0.6347
207,0.1001,0.719,-0.7005,1.6711,0.6258
208,0.0985,0.7177,-0.7192,1.6602,0.6164
209,0.098,0.7176,-0.7607,1.6331,0.6083
210,0.0975,0.7181,-0.7501,1.6386,0.6253
211,0.0978,0.7179,-0.7447,1.6431,0.6068
212,0.0985,0.7167,-0.7191,1.6632,0.6201
213,0.0978,0.7172,-0.7425,1.6536,0.6333
214,0.0973,0.7177,-0.7409,1.6453,0.6238
215,0.0966,0.7175,-0.7482,1.6353,0.6361
216,0.0978,0.7182,-0.7492,1.6513,0.6254
217,0.0978,0.7166,-0.7188,1.6602,0.6053
218,0.0989,0.7187,-0.7068,1.6734,0.623
219,0.0986,0.7172,-0.7321,1.6548,0.6201
220,0.0982,0.7176,-0.7269,1.6551,0.6324
221,0.0994,0.7162,-0.7094,1.6542,0.6224
222,0.0966,0.7175,-0.7334,1.6596,0.627
223,0.0971,0.7178,-0.7538,1.648,0.6197
224,0.0961,0.7185,-0.7599,1.6394,0.6243
225,0.0983,0.718,-0.7352,1.6537,0.6206
226,0.0969,0.7188,-0.7655,1.6423,0.6284
227,0.0975,0.7174,-0.7358,1.656,0.6164
228,0.0972,0.7181,-0.7302,1.6638,0.6286
229,0.0985,0.7174,-0.7353,1.6445,0.6219
230,0.0978,0.7177,-0.716,1.6624,0.6203
231,0.0981,0.7173,-0.7311,1.6536,0.6205
232,0.0984,0.7178,-0.7359,1.6543,0.6216
233,0.098,0.7181,-0.7384,1.6591,0.6177
234,0.0981,0.7187,-0.7409,1.6551,0.6356
235,0.0984,0.7173,-0.737,1.6512,0.6102
236,0.0988,0.7175,-0.7314,1.6519,0.6139
237,0.0987,0.718,-0.739,1.6567,0.619
238,0.0976,0.7182,-0.7413,1.6476,0.6246
239,0.0972,0.7167,-0.7549,1.6399,0.6064
240,0.0982,0.7184,-0.7258,1.6674,0.6167
241,0.098,0.7197,-0.7253,1.6668,0.61
242,0.0968,0.7174,-0.7304,1.6593,0.6231
243,0.0985,0.7184,-0.7313,1.6585,0.6131
244,0.0978,0.7162,-0.785,1.6037,0.6202
245,0.0991,0.7174,-0.7404,1.6373,0.6303
246,0.0972,0.7173,-0.7482,1.6378,0.6211
247,0.0966,0.7185,-0.7454,1.6499,0.6353
248,0.0982,0.7191,-0.7694,1.6324,0.6051
249,0.0968,0.7178,-0.7531,1.6453,0.6283
250,0.0977,0.7165,-0.7229,1.6591,0.621
251,0.0981,0.7164,-0.7349,1.6484,0.6177
252,0.0994,0.7167,-0.7032,1.6583,0.6291
253,0.0962,0.7191,-0.7533,1.6458,0.626
254,0.0975,0.7166,-0.7653,1.6171,0.637
255,0.0982,0.7182,-0.7498,1.6479,0.6198
256,0.0981,0.7163,-0.7321,1.6567,0.6218
257,0.0987,0.7176,-0.7254,1.6553,0.6155
258,0.0982,0.7168,-0.7365,1.6538,0.6202
259,0.0975,0.7179,-0.7287,1.6598,0.6237
260,0.0978,0.7183,-0.7246,1.6624,0.6302
261,0.0976,0.7184,-0.757,1.6335,0.6227
262,0.098,0.7154,-0.7495,1.6362,0.6068
263,0.0982,0.7177,-0.7517,1.6347,0.6344
264,0.0988,0.7178,-0.7373,1.6528,0.6262
265,0.0965,0.7189,-0.7522,1.6541,0.6228
266,0.0979,0.7169,-0.7488,1.6414,0.6309
267,0.0989,0.7178,-0.738,1.6459,0.6235
268,0.0985,0.7191,-0.7465,1.6491,0.6242
269,0.098,0.7186,-0.7563,1.6403,0.6215
270,0.0976,0.7181,-0.7241,1.6576,0.6346
271,0.0991,0.7185,-0.7214,1.6689,0.6146
272,0.0987,0.7165,-0.7425,1.6388,0.6251
273,0.0983,0.7164,-0.7241,1.6689,0.6089
274,0.0983,0.7164,-0.751,1.6261,0.6276
275,0.0999,0.7171,-0.7284,1.6486,0.6193
276,0.0984,0.7193,-0.7218,1.6609,0.6283
277,0.0978,0.7187,-0.7398,1.6475,0.637
278,0.0973,0.717,-0.7315,1.6495,0.6302
279,0.0973,0.7168,-0.7891,1.6089,0.6292
280,0.0978,0.7168,-0.7374,1.6524,0.6259
281,0.0983,0.717,-0.731,1.6416,0.6322
282,0.0978,0.7189,-0.7537,1.6456,0.6291
283,0.0972,0.7178,-0.7568,1.6407,0.6203
284,0.0496,0.8214,-2.4564,1.263,2.638
285,0.0988,0.7179,-0.7306,1.6579,0.6308
286,0.0961,0.7192,-0.8337,1.5732,0.6426
287,0.0969,0.7171,-0.7508,1.6434,0.6225
288,0.0973,0.718,-0.7524,1.6473,0.6177
289,0.0986,0.718,-0.732,1.6541,0.6037
290,0.0995,0.7174,-0.7334,1.6521,0.622
291,0.0977,0.7174,-0.7319,1.663,0.6168
292,0.0968,0.7172,-0.7536,1.6373,0.639
293,0.0987,0.7177,-0.7288,1.6508,0.623
294,0.0984,0.7177,-0.7243,1.6526,0.6215
295,0.0962,0.7196,-0.776,1.6308,0.6287
296,0.0991,0.7165,-0.7252,1.6508,0.6224
297,0.0979,0.7179,-0.7362,1.6597,0.6193
298,0.0981,0.7172,-0.7651,1.6238,0.6136
299,0.0972,0.7189,-0.7491,1.6547,0.6324
300,0.098,0.7173,-0.7441,1.6435,0.616
301,0.0986,0.7184,-0.7384,1.6458,0.6295
302,0.0965,0.7172,-0.7456,1.6476,0.6172
303,0.0984,0.7176,-0.7135,1.6662,0.6192
304,0.0965,0.7187,-0.7415,1.6564,0.6046
305,0.0985,0.7173,-0.7499,1.6416,0.6265
306,0.0978,0.7188,-0.7554,1.6419,0.618
307,0.0981,0.7172,-0.7229,1.6582,0.6263
308,0.0984,0.7181,-0.7436,1.6463,0.6236
309,0.0974,0.7176,-0.7433,1.6521,0.6001
310,0.0989,0.7153,-0.6942,1.6654,0.6132
311,0.0987,0.7185,-0.7221,1.6603,0.6318
312,0.0978,0.7171,-0.7484,1.6392,0.6145
313,0.098,0.7192,-0.7243,1.6601,0.6347
314,0.0977,0.7191,-0.7304,1.6601,0.6394
315,0.0982,0.7187,-0.7525,1.6464,0.624
316,0.0989,0.7168,-0.7173,1.6608,0.6186
317,0.0984,0.7184,-0.7319,1.6553,0.6274
318,0.0968,0.7183,-0.7421,1.6455,0.6305
319,0.1005,0.7172,-0.7257,1.6419,0.624
320,0.0978,0.7187,-0.7212,1.6591,0.6302
321,0.0979,0.7167,-0.7332,1.6574,0.6104
322,0.0984,0.7183,-0.7236,1.6536,0.624
323,0.0967,0.7188,-0.7397,1.6524,0.622
324,0.0975,0.7165,-0.7368,1.6493,0.6301
325,0.0969,0.7177,-0.7578,1.6356,0.6223
326,0.0969,0.7188,-0.7399,1.6573,0.621
327,0.0977,0.717,-0.73,1.6517,0.6249
328,0.098,0.7181,-0.7407,1.6495,0.6211
329,0.0979,0.7172,-0.7359,1.6549,0.6167
330,0.0986,0.7179,-0.7343,1.6439,0.6368
331,0.0962,0.7195,-0.7529,1.6563,0.6399
332,0.097,0.7185,-0.771,1.6297,0.644
333,0.0979,0.7174,-0.7405,1.6358,0.6168
334,0.0975,0.718,-0.7344,1.6645,0.6373
335,0.0978,0.7181,-0.7567,1.641,0.6285
336,0.1003,0.7172,-0.7084,1.6582,0.6156
337,0.0979,0.7192,-0.7326,1.6595,0.6345
338,0.0963,0.7179,-0.766,1.6342,0.6248
339,0.0988,0.7167,-0.7239,1.6588,0.6155
340,0.0978,0.7183,-0.7558,1.637,0.6268
341,0.0978,0.7168,-0.7421,1.6462,0.6185
342,0.0988,0.7177,-0.7111,1.6775,0.6262
343,0.0976,0.7175,-0.7414,1.6428,0.6218
344,0.0968,0.7186,-0.7412,1.6547,0.6088
345,0.0969,0.7178,-0.7493,1.6422,0.6242
346,0.0987,0.7185,-0.7197,1.6612,0.6287
347,0.0981,0.7181,-0.7399,1.6579,0.6152
348,0.0982,0.7181,-0.7348,1.656,0.6118
349,0.0986,0.7177,-0.7351,1.6466,0.6076
350,0.099,0.7181,-0.7265,1.658,0.6305
351,0.0983,0.7166,-0.7323,1.6472,0.6226
352,0.0965,0.7179,-0.7356,1.6638,0.6272
353,0.0985,0.7171,-0.7345,1.6532,0.6309
354,0.0995,0.7175,-0.726,1.6504,0.6216
355,0.0966,0.7179,-0.7629,1.6393,0.6178
356,0.0972,0.7199,-0.7695,1.6408,0.6327
357,0.0984,0.7173,-0.7239,1.6551,0.6232
358,0.0974,0.7184,-0.7631,1.6299,0.6383
359,0.0948,0.7201,-0.8358,1.5744,0.6551
360,0.0987,0.7179,-0.7322,1.6482,0.6087
361,0.098,0.7186,-0.7687,1.6298,0.623
362,0.0961,0.7185,-0.7712,1.6207,0.6269
363,0.0975,0.718,-0.7629,1.6342,0.6297
364,0.0964,0.7187,-0.8207,1.5891,0.6309
365,0.0962,0.7184,-0.7512,1.6488,0.63
366,0.0976,0.7175,-0.7421,1.6455,0.6123
367,0.0964,0.7168,-0.787,1.6106,0.6234
368,0.099,0.718,-0.7299,1.6552,0.6126
369,0.0977,0.7178,-0.7541,1.6391,0.6104
370,0.0978,0.718,-0.7449,1.6485,0.6188
371,0.0991,0.7189,-0.7073,1.6705,0.6262
372,0.0977,0.7179,-0.7257,1.6534,0.6326
373,0.0967,0.7174,-0.7387,1.6514,0.6234
374,0.099,0.7162,-0.7501,1.636,0.6028
375,0.0975,0.7174,-0.7449,1.6521,0.6238
376,0.0994,0.7176,-0.7256,1.6547,0.6213
377,0.099,0.7179,-0.7358,1.6543,0.6255
378,0.0969,0.7186,-0.7476,1.656,0.6355
379,0.0971,0.7193,-0.755,1.6506,0.637
380,0.0975,0.7184,-0.7286,1.6562,0.6329
381,0.0977,0.7166,-0.7396,1.6489,0.6148
382,0.0985,0.7175,-0.7254,1.6542,0.6271
383,0.0987,0.7171,-0.7264,1.6538,0.6143
384,0.0965,0.7177,-0.7594,1.6343,0.6211
385,0.0966,0.7184,-0.7681,1.6366,0.6346
386,0.099,0.7184,-0.7133,1.6632,0.6192
387,0.0976,0.7175,-0.735,1.6529,0.6137
388,0.0977,0.7178,-0.7333,1.6597,0.6178
389,0.0989,0.7176,-0.7333,1.6461,0.6314
390,0.0986,0.717,-0.7139,1.6589,0.6251
391,0.0987,0.7173,-0.7236,1.6528,0.6197
392,0.0987,0.7176,-0.7256,1.6561,0.6163
393,0.0962,0.718,-0.7587,1.64,0.6219
394,0.0981,0.7183,-0.7339,1.6533,0.6247
395,0.0976,0.7192,-0.7336,1.6659,0.6257
396,0.0975,0.7181,-0.7599,1.6382,0.6344
397,0.0988,0.7176,-0.7221,1.6577,0.6238
398,0.099,0.7173,-0.7094,1.6664,0.6211
399,0.0971,0.7184,-0.7484,1.6586,0.6326
400,0.0961,0.7178,-0.7608,1.6474,0.6114
401,0.098,0.7186,-0.7318,1.6591,0.6247
402,0.0962,0.7192,-0.7488,1.6473,0.6296
403,0.097,0.7176,-0.7378,1.6525,0.6256
404,0.0981,0.7204,-0.7481,1.6612,0.6365
405,0.0976,0.7182,-0.7482,1.6438,0.6361
406,0.0988,0.7183,-0.7306,1.6521,0.6256
407,0.0998,0.7159,-0.7216,1.6464,0.6196
408,0.0979,0.7152,-0.7678,1.6153,0.621
409,0.0979,0.7181,-0.7639,1.6253,0.5987
410,0.0967,0.7179,-0.7532,1.6421,0.6212
411,0.0993,0.7172,-0.7236,1.6596,0.6064
412,0.0976,0.7185,-0.7419,1.6527,0.6348
413,0.0981,0.7182,-0.7316,1.6526,0.633
414,0.0965,0.7191,-0.774,1.6362,0.6309
415,0.0992,0.7177,-0.7398,1.6472,0.6142
416,0.0964,0.7178,-0.7535,1.6432,0.6315
417,0.0978,0.7176,-0.7317,1.6566,0.6349
418,0.0972,0.7169,-0.7312,1.6554,0.6314
419,0.0974,0.7183,-0.7449,1.6545,0.6211
420,0.0977,0.718,-0.7525,1.6471,0.612
421,0.0985,0.7184,-0.7498,1.6428,0.6241
422,0.0984,0.7159,-0.7252,1.6556,0.6141
423,0.0998,0.717,-0.7142,1.6589,0.6226
424,0.0975,0.7176,-0.7672,1.6231,0.6183
425,0.0987,0.7179,-0.7267,1.6492,0.6154
426,0.0974,0.7174,-0.7472,1.6286,0.632
427,0.0981,0.7173,-0.7229,1.6599,0.6241
428,0.0986,0.7176,-0.7197,1.652,0.6305
429,0.0991,0.7169,-0.7157,1.6622,0.6246
430,0.0986,0.7178,-0.7247,1.6626,0.6256
431,0.0979,0.7167,-0.7277,1.6549,0.6093
432,0.098,0.7172,-0.7521,1.6348,0.6275
433,0.0975,0.7171,-0.7332,1.659,0.6099
434,0.0983,0.7186,-0.7511,1.6448,0.6242
435,0.0969,0.7193,-0.7448,1.6518,0.6248
436,0.0986,0.7184,-0.7439,1.6503,0.6334
437,0.0987,0.7183,-0.7362,1.6481,0.6202
438,0.0978,0.7183,-0.7481,1.6399,0.6271
439,0.0982,0.7176,-0.7302,1.6447,0.6341
440,0.0958,0.7189,-0.7614,1.6341,0.6369
441,0.0979,0.7177,-0.7382,1.6497,0.623
442,0.0994,0.7168,-0.7114,1.6552,0.6235
443,0.0957,0.7193,-0.8328,1.5825,0.6461
444,0.0983,0.7179,-0.7472,1.6548,0.6321
445,0.0983,0.7182,-0.7262,1.6622,0.6156
446,0.0978,0.7197,-0.7459,1.6477,0.6272
447,0.0983,0.7175,-0.7491,1.6386,0.6155
448,0.0989,0.7167,-0.7614,1.6259,0.6139
449,0.0964,0.717,-0.7884,1.6037,0.6349
450,0.0976,0.7171,-0.7396,1.6449,0.6191
451,0.0989,0.7186,-0.7255,1.664,0.6287
452,0.0978,0.7193,-0.7368,1.6569,0.6319
453,0.0981,0.7175,-0.7229,1.6578,0.6239
454,0.0978,0.7201,-0.7364,1.6623,0.6282
455,0.0981,0.7184,-0.7447,1.6509,0.626
456,0.0976,0.7185,-0.7307,1.6572,0.6228
457,0.098,0.7173,-0.7416,1.6414,0.6196
458,0.0994,0.7165,-0.7013,1.6699,0.6271
459,0.0989,0.7175,-0.7529,1.6392,0.6141
460,0.097,0.7185,-0.775,1.6349,0.6419
461,0.0984,0.7174,-0.7345,1.6466,0.6302
462,0.0977,0.7173,-0.7296,1.6504,0.6228
463,0.0963,0.717,-0.7464,1.6465,0.6271
464,0.0971,0.7179,-0.7652,1.6337,0.6113
465,0.0986,0.7167,-0.7567,1.6317,0.6195
466,0.0979,0.7175,-0.7253,1.6559,0.6075
467,0.0977,0.7178,-0.7169,1.6589,0.6273
468,0.0979,0.7173,-0.7382,1.6526,0.6226
469,0.0981,0.7184,-0.7443,1.6496,0.6248
470,0.0962,0.716,-0.7536,1.6385,0.6129
471,0.0981,0.7171,-0.7303,1.6463,0.622
472,0.0983,0.7173,-0.7206,1.6594,0.6323
473,0.097,0.7188,-0.741,1.6519,0.6261
474,0.0983,0.7166,-0.733,1.6545,0.6231
475,0.0967,0.719,-0.7505,1.6581,0.6152
476,0.0986,0.718,-0.7316,1.6521,0.6105
477,0.0982,0.7181,-0.7354,1.6567,0.6138
478,0.0982,0.7172,-0.7488,1.6238,0.6179
479,0.0968,0.7168,-0.7682,1.6298,0.6286
480,0.0975,0.7175,-0.7442,1.6357,0.6396
481,0.0973,0.7193,-0.7564,1.65,0.6267
482,0.0974,0.7185,-0.7334,1.665,0.6273
483,0.0968,0.7186,-0.76,1.6432,0.6188
484,0.0975,0.7187,-0.7413,1.6535,0.6132
485,0.0981,0.7172,-0.7287,1.6578,0.6101
486,0.0982,0.7187,-0.7397,1.6592,0.6339
487,0.0959,0.7168,-0.753,1.6446,0.6214
488,0.0993,0.7155,-0.7099,1.6586,0.6158
489,0.097,0.7172,-0.7289,1.6611,0.6293
490,0.098,0.718,-0.73,1.6584,0.6277
491,0.0985,0.7171,-0.7559,1.6397,0.624
492,0.0981,0.7187,-0.7382,1.6546,0.6278
493,0.0969,0.7191,-0.824,1.573,0.6473
494,0.098,0.715,-0.7288,1.6497,0.6158
495,0.0991,0.7182,-0.7306,1.6545,0.6091
496,0.0487,0.8214,-2.4748,1.2345,2.6461
497,0.0978,0.7176,-0.7484,1.6347,0.6203
498,0.0982,0.7182,-0.7338,1.6579,0.6306
499,0.0965,0.718,-0.7539,1.6474,0.6241
500,0.0993,0.717,-0.7128,1.6612,0.6136
501,0.0967,0.7187,-0.7384,1.65,0.6321
502,0.0972,0.7188,-0.742,1.652,0.6354
