,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
758,0.0454,0.7237,-2.9886,-0.0496,1.4255
759,0.0475,0.7213,-3.0163,-0.0991,1.3912
760,0.0465,0.721,-3.0153,-0.077,1.4037
761,0.0465,0.7204,-3.0073,-0.098,1.3306
762,0.0472,0.7214,-3.0041,-0.0748,1.4001
763,0.0471,0.7173,-3.0252,-0.1196,1.351
764,0.0472,0.7186,-3.0114,-0.1088,1.3461
765,0.0475,0.7257,-2.993,-0.0638,1.4145
766,0.0472,0.7199,-3.0231,-0.1141,1.3489
767,0.0469,0.7182,-3.027,-0.1095,1.3624
768,0.047,0.7219,-3.0038,-0.0739,1.3988
769,0.0471,0.719,-3.029,-0.1271,1.3371
770,0.0471,0.723,-3.015,-0.088,1.394
771,0.0463,0.7262,-2.9892,-0.0476,1.4542
772,0.0474,0.7217,-3.0071,-0.085,1.3902
773,0.0471,0.7194,-3.0003,-0.0908,1.398
774,0.0474,0.7199,-3.0116,-0.092,1.389
775,0.0464,0.7214,-2.9993,-0.07,1.3933
776,0.0469,0.722,-3.0116,-0.0844,1.3898
777,0.0464,0.7187,-3.022,-0.1099,1.3297
778,0.0471,0.7241,-3.0073,-0.0745,1.3998
779,0.0479,0.7215,-2.9502,-0.0318,1.4539
780,0.047,0.7221,-2.9895,-0.0522,1.4324
781,0.0461,0.7203,-2.9718,-0.0474,1.4321
782,0.0448,0.721,-3.0071,-0.0734,1.3952
783,0.0473,0.7202,-3.0147,-0.0953,1.3784
784,0.0478,0.7214,-2.9959,-0.0802,1.4261
785,0.0448,0.7202,-2.9988,-0.0614,1.3826
786,0.0473,0.7251,-2.9764,-0.0393,1.4576
787,0.0474,0.723,-3.0042,-0.0718,1.4097
788,0.0473,0.7199,-3.0038,-0.0923,1.4069
789,0.0473,0.7219,-2.993,-0.0706,1.4279
790,0.0464,0.7238,-2.9848,-0.0307,1.4417
791,0.0469,0.7231,-3.0042,-0.0669,1.4146
792,0.0464,0.7221,-2.9993,-0.0615,1.3996
793,0.0474,0.7232,-3.0042,-0.072,1.4093
794,0.0471,0.72,-3.0111,-0.0944,1.3715
795,0.0476,0.7221,-3.0081,-0.0883,1.391
796,0.0458,0.7253,-2.9965,-0.0449,1.4319
797,0.0468,0.7248,-2.9767,-0.0377,1.4495
798,0.0451,0.7144,-3.0026,-0.0878,1.3705
799,0.0474,0.722,-3.0042,-0.0855,1.3816
800,0.0481,0.7227,-3.0235,-0.1239,1.3558
801,0.0472,0.7166,-3.0347,-0.1366,1.3242
802,0.0465,0.72,-3.0261,-0.1019,1.3721
803,0.0477,0.7214,-3.0153,-0.0899,1.3995
804,0.0455,0.7202,-3.015,-0.0941,1.3604
805,0.0469,0.721,-3.0037,-0.0758,1.39
806,0.0464,0.7196,-2.9761,-0.0511,1.4427
807,0.0472,0.7221,-3.0073,-0.0761,1.3825
808,0.0473,0.7162,-3.0295,-0.1333,1.3295
809,0.0476,0.7156,-3.0486,-0.1626,1.3147
810,0.0473,0.7235,-2.993,-0.0708,1.4291
811,0.0476,0.7205,-3.001,-0.079,1.3966
812,0.0451,0.7234,-2.985,-0.0404,1.4345
813,0.0473,0.7221,-3.0121,-0.0781,1.4101
814,0.0477,0.7157,-3.0412,-0.1644,1.2899
815,0.0472,0.7241,-2.9994,-0.0755,1.4184
816,0.0472,0.7182,-3.0252,-0.1196,1.3503
817,0.0466,0.7195,-2.9579,-0.0329,1.4589
818,0.047,0.7232,-2.9886,-0.0488,1.417
819,0.0476,0.7179,-3.0182,-0.1203,1.3589
820,0.0469,0.7265,-2.9682,-0.0161,1.4485
821,0.0469,0.7195,-3.0178,-0.1043,1.3578
822,0.0472,0.7239,-2.9965,-0.0558,1.42
823,0.047,0.7207,-3.0116,-0.0882,1.3928
824,0.0471,0.7218,-2.9994,-0.0732,1.4024
825,0.047,0.7214,-3.004,-0.0779,1.392
826,0.0469,0.7204,-3.0037,-0.0803,1.3882
827,0.0472,0.726,-2.9885,-0.0657,1.3985
828,0.0477,0.7178,-3.0113,-0.1142,1.3751
829,0.0471,0.7167,-3.0181,-0.1061,1.3491
830,0.0481,0.7205,-3.0036,-0.0994,1.3826
831,0.0469,0.7188,-3.0077,-0.0817,1.3708
832,0.0473,0.7171,-3.0114,-0.0949,1.3584
833,0.0471,0.7197,-3.0144,-0.0982,1.3716
834,0.0467,0.7167,-3.029,-0.1323,1.3416
835,0.0473,0.7222,-2.993,-0.0666,1.4001
836,0.0475,0.7223,-2.9923,-0.0731,1.3772
837,0.0464,0.7223,-2.9852,-0.043,1.4155
838,0.0473,0.7225,-2.9931,-0.0641,1.4095
839,0.0469,0.72,-3.0037,-0.0803,1.3867
840,0.0469,0.7252,-2.985,-0.0392,1.43
841,0.0459,0.7182,-3.0128,-0.0909,1.4078
842,0.0468,0.7242,-2.9959,-0.0621,1.4132
843,0.0473,0.7213,-2.9803,-0.0696,1.4072
844,0.0468,0.7217,-2.9965,-0.0591,1.4083
845,0.0474,0.7195,-3.0117,-0.0904,1.3811
846,0.046,0.7173,-3.0305,-0.1224,1.3519
847,0.0471,0.7236,-2.9912,-0.0644,1.3784
848,0.0472,0.7209,-2.9722,-0.0468,1.4312
849,0.0471,0.7209,-3.0041,-0.0887,1.3718
850,0.0471,0.7224,-2.9965,-0.0678,1.4009
851,0.048,0.7232,-3.0077,-0.0913,1.3865
852,0.0468,0.7183,-3.0144,-0.1,1.3587
853,0.0466,0.7197,-2.9725,-0.0449,1.4208
854,0.0473,0.7215,-3.0147,-0.0958,1.3794
855,0.0465,0.7165,-3.0104,-0.1047,1.3751
856,0.046,0.7155,-3.0055,-0.0997,1.3543
857,0.0468,0.718,-3.0144,-0.1,1.3587
858,0.0466,0.7185,-3.0252,-0.1116,1.3509
859,0.046,0.7164,-2.98,-0.0851,1.3697
860,0.0471,0.7209,-3.0041,-0.0887,1.3718
861,0.0477,0.7222,-2.9912,-0.0728,1.3862
862,0.0472,0.7178,-3.0252,-0.1196,1.3504
863,0.0469,0.7233,-2.9965,-0.0591,1.4103
864,0.047,0.7214,-3.0116,-0.0843,1.3942
865,0.0471,0.7228,-2.9993,-0.0695,1.3992
866,0.047,0.7247,-2.9852,-0.0484,1.4207
867,0.0469,0.7184,-3.0192,-0.1063,1.3675
868,0.0475,0.721,-3.0042,-0.0759,1.3933
869,0.0474,0.7222,-3.0071,-0.0852,1.3902
870,0.0467,0.7234,-2.984,-0.0555,1.424
871,0.0471,0.7199,-3.0147,-0.0974,1.3658
872,0.0468,0.7223,-2.9965,-0.0589,1.4096
873,0.0471,0.7227,-2.9965,-0.0678,1.4015
874,0.0475,0.7207,-3.0116,-0.0885,1.3895
875,0.0455,0.7184,-2.9912,-0.0729,1.4011
876,0.0478,0.7229,-3.0118,-0.0891,1.3998
877,0.0476,0.7181,-3.0147,-0.107,1.351
878,0.0478,0.7158,-3.0387,-0.1547,1.3233
879,0.0463,0.7228,-3.024,-0.0925,1.3953
880,0.0473,0.7231,-3.0069,-0.087,1.3783
881,0.0473,0.7246,-2.9884,-0.0413,1.4369
882,0.0471,0.7144,-3.0347,-0.1516,1.2923
883,0.046,0.7196,-3.0222,-0.1025,1.3646
