,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
402,0.0542,0.9498,-0.1938,3.0394,2.368
403,0.0557,0.9503,-0.1539,3.0389,2.4254
404,0.0552,0.9492,-0.1631,3.0391,2.395
405,0.0554,0.9484,-0.17,3.0392,2.3773
406,0.055,0.947,-0.1509,3.0391,2.387
407,0.0552,0.9516,-0.1645,3.0391,2.3987
408,0.0558,0.9502,-0.1496,3.0389,2.4102
409,0.0559,0.9519,-0.157,3.039,2.3847
410,0.0554,0.9461,-0.163,3.039,2.3976
411,0.0558,0.9475,-0.1631,3.039,2.3951
412,0.0563,0.9552,-0.1342,3.0387,2.4285
413,0.0545,0.9467,-0.1687,3.0393,2.3463
414,0.0552,0.9489,-0.1642,3.039,2.3885
415,0.0563,0.9538,-0.1263,3.0388,2.4168
416,0.0552,0.9475,-0.1717,3.0391,2.3863
417,0.056,0.9501,-0.1613,3.0387,2.4199
418,0.0556,0.9491,-0.1503,3.0392,2.3635
419,0.0555,0.9507,-0.1592,3.0391,2.4023
420,0.0554,0.9506,-0.1638,3.039,2.3942
421,0.0559,0.9505,-0.1614,3.039,2.3828
422,0.055,0.9473,-0.1813,3.0392,2.3786
423,0.056,0.9515,-0.1579,3.0388,2.4099
424,0.0557,0.9501,-0.1679,3.039,2.3921
425,0.0555,0.9504,-0.1335,3.0391,2.3862
426,0.0559,0.9506,-0.1561,3.0389,2.3939
427,0.0553,0.9501,-0.1394,3.039,2.4086
428,0.0553,0.9464,-0.1903,3.0389,2.4002
429,0.0547,0.9484,-0.1977,3.0392,2.3892
430,0.055,0.9474,-0.1836,3.0395,2.3404
431,0.055,0.9468,-0.1765,3.039,2.3914
432,0.0553,0.9468,-0.1742,3.0391,2.3927
433,0.0555,0.9474,-0.1582,3.039,2.3874
434,0.0551,0.9487,-0.15,3.0391,2.3865
435,0.0559,0.949,-0.1585,3.0389,2.4061
436,0.0557,0.9484,-0.169,3.039,2.3932
437,0.0559,0.951,-0.1555,3.0389,2.4005
438,0.055,0.9474,-0.1819,3.0392,2.3852
439,0.0557,0.9492,-0.1652,3.0391,2.3901
440,0.0553,0.9474,-0.1686,3.0392,2.3787
441,0.056,0.9504,-0.1557,3.0389,2.398
442,0.0559,0.9524,-0.1592,3.039,2.3969
443,0.0547,0.9457,-0.1754,3.0392,2.3848
444,0.0554,0.9531,-0.1736,3.0392,2.3989
445,0.0561,0.9508,-0.1481,3.0388,2.4078
446,0.0557,0.9455,-0.1638,3.0389,2.4082
447,0.0558,0.951,-0.1579,3.039,2.3914
448,0.0549,0.9455,-0.1659,3.0393,2.3729
449,0.0556,0.9507,-0.16,3.039,2.3869
450,0.0557,0.9539,-0.1628,3.0391,2.3964
451,0.0545,0.9493,-0.1894,3.0392,2.3769
452,0.0553,0.9496,-0.1717,3.0391,2.3874
453,0.0554,0.9469,-0.1733,3.0391,2.3812
454,0.0555,0.9486,-0.1776,3.0391,2.387
455,0.0556,0.9504,-0.1735,3.039,2.3808
456,0.056,0.9494,-0.1664,3.0388,2.4159
457,0.0564,0.9523,-0.1223,3.0387,2.431
458,0.0551,0.9471,-0.1661,3.0392,2.361
459,0.0556,0.9493,-0.1575,3.0389,2.3974
460,0.0553,0.9474,-0.1703,3.039,2.3919
461,0.0555,0.9455,-0.1684,3.039,2.3964
462,0.0555,0.9485,-0.1695,3.0391,2.3832
463,0.0554,0.9499,-0.1592,3.0391,2.3808
464,0.0555,0.9434,-0.1645,3.039,2.3805
465,0.0558,0.9536,-0.1486,3.039,2.4034
466,0.056,0.9498,-0.1679,3.0388,2.4064
467,0.0553,0.9482,-0.1599,3.0391,2.3822
468,0.0552,0.9436,-0.186,3.0392,2.3798
469,0.0559,0.9486,-0.157,3.0389,2.4075
470,0.0557,0.953,-0.1628,3.0391,2.3962
471,0.0557,0.9481,-0.1463,3.0392,2.3585
472,0.0554,0.9457,-0.1558,3.0391,2.368
473,0.055,0.9489,-0.157,3.0391,2.3843
474,0.0554,0.9502,-0.1652,3.0393,2.3802
475,0.0558,0.9475,-0.1431,3.039,2.3975
476,0.0552,0.9461,-0.1663,3.0392,2.3738
477,0.0557,0.951,-0.1621,3.0391,2.3755
478,0.0556,0.9468,-0.1561,3.039,2.3875
479,0.0558,0.955,-0.1571,3.0391,2.3893
480,0.0554,0.9484,-0.1681,3.039,2.3928
481,0.0558,0.9469,-0.1596,3.039,2.3871
482,0.0559,0.9523,-0.1529,3.039,2.3873
483,0.0549,0.9438,-0.1717,3.0392,2.362
484,0.0557,0.9487,-0.1482,3.039,2.3861
485,0.0553,0.9458,-0.1564,3.0391,2.3729
486,0.0555,0.9471,-0.1563,3.039,2.3841
487,0.056,0.9507,-0.1458,3.0389,2.4001
488,0.0554,0.9476,-0.1513,3.039,2.3838
489,0.0554,0.9548,-0.1766,3.0392,2.3914
490,0.055,0.9496,-0.1672,3.0392,2.3649
491,0.0553,0.9514,-0.1594,3.0391,2.3958
492,0.0553,0.95,-0.1585,3.039,2.3793
493,0.0551,0.951,-0.1725,3.0392,2.3782
494,0.0551,0.9487,-0.1776,3.0392,2.3702
495,0.0559,0.95,-0.1569,3.0389,2.3878
496,0.089,0.8775,-0.1357,2.6614,1.8225
497,0.0549,0.9476,-0.1742,3.0392,2.3803
498,0.0562,0.954,-0.1484,3.0388,2.4073
499,0.0558,0.9494,-0.1601,3.0391,2.3806
500,0.0556,0.9497,-0.1661,3.039,2.3914
501,0.0552,0.9494,-0.1692,3.0391,2.3678
502,0.0553,0.9479,-0.1554,3.0389,2.4057
503,0.0551,0.9504,-0.1596,3.0392,2.375
504,0.0556,0.9502,-0.1645,3.039,2.3944
505,0.055,0.9493,-0.1638,3.0391,2.3853
506,0.0559,0.9509,-0.1558,3.039,2.3962
507,0.0555,0.9491,-0.165,3.039,2.3846
