,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
82,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.23,,Stanford,15.3,±5,CH,1461,±1,189
83,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.33,±1,Stanford,15.3,±5,CH,1532,±1,156
84,n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.32,,Stanford,15.3,,CH,1381,,1020
85,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.17,±1,Stanford,15.3,±5,CH,1561,±1,131
86,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.4,2,CCCCCCC,0.4,431,Species,2.2,1.22,,Stanford,15.3,±5,CH,1676,±1,147
87,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.42,0.51,CCCCCCCCCCCC,0.58,430,Speceis,21,6.07,±9.3,Stanford,15.3,,CH,1140,±1,820
89,C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.3,,Xi’an_Jiaotong,11.5,±2.36,CH,1400,±3,199
90,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1224,,253
92,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.71,1,CCCCCCCCC,0.29,306,Species,4,1.91,±1,Stanford,14.13,±3,OH,1330,±0.7,780
93,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22.3,,Stanford,5,±5,OH,1015,±1,508
94,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,21.2,,Stanford,5,±5,OH,1163,±1,213
96,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.45,0.48,CCCCCCCCCCCC,0.55,430,Speceis,21,5.69,±9.3,Stanford,15.3,,CH,1037,±1,2607
98,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.47,0.47,CCCCCCCCCCCC,0.53,430,Speceis,21,6.19,±9.3,Stanford,15.3,,CH,1172,±1,524
