,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
3730,65.5232,-0.9676,-0.5146,-21.2204,1.7565,8.0626,0.7278
3731,66.0183,-0.9705,-0.4817,-21.2976,1.2436,7.8237,0.7213
3732,44.5717,-0.9283,-0.4917,-14.3355,3.465,7.8878,0.7318
3733,58.0572,-0.9476,-0.509,-18.7362,1.8683,7.8934,0.7282
3734,56.0701,-0.9567,-0.4669,-18.0361,1.7947,7.7938,0.7257
3735,47.0504,-0.9357,-0.4992,-15.1497,3.3651,7.9022,0.7318
3736,62.0729,-0.9921,-0.4914,-20.0429,2.5828,7.9321,0.7254
3737,39.1719,-0.9017,-0.5088,-12.5199,2.6204,7.7302,0.7305
3738,59.9063,-0.9426,-0.4955,-19.332,1.7284,7.8508,0.7272
3739,52.8496,-0.9493,-0.484,-17.0328,2.3828,7.9062,0.7215
3740,43.634,-0.9279,-0.4954,-14.0609,2.7322,8.0337,0.7331
3741,50.9175,-0.9555,-0.4918,-16.4009,2.6586,7.9098,0.7292
3742,52.9712,-0.9631,-0.5191,-17.1321,5.2272,7.9778,0.7349
3743,51.0451,-0.9271,-0.4886,-16.4139,2.6218,7.7539,0.7329
3744,48.786,-0.9107,-0.4809,-15.8547,0.6417,8.4392,0.745
3745,59.4105,-0.9548,-0.4976,-19.1645,1.6349,7.8804,0.7269
3746,65.9834,-0.9911,-0.4764,-21.3194,1.9086,7.9357,0.7327
3747,58.7054,-0.9462,-0.4696,-18.9766,0.9091,8.0526,0.7387
3748,59.03,-0.9426,-0.5216,-19.0865,1.5741,7.9767,0.7322
3749,58.74,-0.9686,-0.4808,-18.9714,1.8353,7.9834,0.7326
3750,31.0919,-0.918,-0.439,-9.8524,2.5878,7.7866,0.7479
3751,50.9914,-0.9865,-0.4685,-16.4737,4.2007,8.0838,0.743
3752,48.3245,-0.937,-0.46,-15.4304,1.8669,7.5473,0.7417
3753,59.5634,-0.9686,-0.5001,-19.2431,2.7483,7.9359,0.7326
