,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
117,-6.7952,-0.4252,0.823,-1.481,-9.393,22.5293,0.9225
118,-6.9998,-0.4681,0.6897,-1.3718,-8.8683,22.3496,0.9137
119,-6.98,-0.4127,0.7336,-1.4471,-9.4056,22.3981,0.9099
120,-6.6974,-0.4171,0.7945,-1.4556,-9.6897,22.287,0.9199
121,-6.8678,-0.484,0.8457,-1.4415,-9.9266,22.8438,0.9365
122,-6.5901,-0.3947,0.7925,-1.4926,-10.0461,22.1344,0.9088
123,-6.6976,-0.3958,0.8149,-1.4996,-9.5001,22.3115,0.9191
124,-6.9105,-0.442,0.7582,-1.438,-9.3921,22.475,0.9121
125,-7.1438,-0.3786,0.7254,-1.511,-9.647,22.56,0.9058
126,-6.9711,-0.4225,0.8597,-1.5258,-10.0295,22.9687,0.9121
127,-6.779,-0.4558,0.8383,-1.4779,-9.8146,22.663,0.9146
128,-6.7844,-0.4161,0.8736,-1.5658,-10.0286,22.7532,0.9216
129,-6.875,-0.4508,0.7977,-1.4489,-9.4373,22.6116,0.9135
130,-6.9593,-0.4368,0.7938,-1.473,-9.7509,22.6877,0.9114
131,-6.9323,-0.4265,0.7642,-1.4617,-9.6021,22.5059,0.9115
132,-6.9116,-0.4132,0.7747,-1.4775,-9.6825,22.5033,0.8986
133,-7.0146,-0.4078,0.7734,-1.5088,-9.6945,22.6324,0.92
134,-7.0359,-0.4317,0.7334,-1.4344,-9.4145,22.5096,0.9142
135,-6.9726,-0.4375,0.883,-1.552,-9.9713,23.0843,0.9117
136,-6.999,-0.4321,0.7743,-1.4629,-9.5857,22.6383,0.9112
137,-7.0927,-0.4105,0.6911,-1.434,-9.4337,22.3828,0.9119
138,-6.9518,-0.4363,0.7677,-1.4474,-9.6311,22.5686,0.9112
139,-6.8955,-0.4437,0.7606,-1.427,-9.6251,22.4698,0.9123
140,-7.0898,-0.4029,0.7178,-1.4679,-9.203,22.4602,0.9218
141,-6.9785,-0.3978,0.7084,-1.4729,-9.2722,22.2829,0.9216
142,-6.853,-0.4572,0.8659,-1.4706,-9.7426,22.8181,0.9499
143,-6.9818,-0.4226,0.8345,-1.5173,-9.9496,22.8645,0.9125
144,-6.844,-0.4203,0.7708,-1.4642,-9.4196,22.3912,0.9102
145,-7.8056,-0.4103,0.6918,-1.532,-14.0016,23.6589,0.898
146,-6.7238,-0.356,0.8866,-1.6335,-14.2634,22.8684,0.9108
147,-7.2084,-0.4394,0.7236,-1.4381,-9.0073,22.7012,0.9203
148,-6.8492,-0.4582,0.8372,-1.4814,-9.815,22.7607,0.9125
