,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
490,-6.2836,-0.626,0.771,-1.5512,-2.0177,21.9818,0.9634
491,-6.2918,-0.6148,0.7795,-1.5409,-2.1269,21.9762,0.9617
492,-6.2651,-0.6169,0.7737,-1.5401,-1.9923,21.9106,0.9636
493,-6.3747,-0.5933,0.811,-1.4748,-2.6508,22.0131,0.9556
494,-6.2603,-0.6106,0.7955,-1.5637,-2.1921,21.9992,0.962
495,-6.2918,-0.6151,0.7869,-1.5476,-2.1064,21.9921,0.9648
496,-11.2391,-0.5436,-0.8005,-0.4652,6.326,21.2466,0.9947
497,-6.3558,-0.6319,0.769,-1.5448,-1.9894,22.0537,0.964
498,-6.2493,-0.6092,0.7702,-1.5315,-2.0799,21.869,0.9631
499,-6.2281,-0.6195,0.7773,-1.5438,-2.1866,21.9026,0.9599
500,-6.2421,-0.6188,0.7762,-1.5367,-2.0762,21.8847,0.9625
501,-6.2818,-0.6197,0.7785,-1.5442,-2.1436,21.9773,0.9616
502,-6.2344,-0.6182,0.7856,-1.5591,-2.2227,21.9624,0.9639
503,-6.3845,-0.6153,0.7721,-1.5324,-2.0759,22.0679,0.9634
504,-6.2838,-0.6151,0.7748,-1.5449,-2.1454,21.9682,0.964
505,-6.4047,-0.5907,0.8047,-1.4847,-2.5944,22.0649,0.9535
506,-6.2734,-0.6252,0.7783,-1.5544,-2.0985,21.9891,0.9621
507,-6.4129,-0.6175,0.8192,-1.5497,-2.3343,22.2369,0.971
508,-6.2942,-0.6174,0.7903,-1.5484,-2.1464,22.0033,0.9643
509,-6.3387,-0.6141,0.7679,-1.5298,-1.9968,21.9841,0.9625
510,-6.2614,-0.6223,0.7707,-1.5356,-2.1857,21.9246,0.963
511,-6.2952,-0.61,0.7606,-1.5051,-2.1014,21.8635,0.9658
512,-6.2812,-0.6062,0.7791,-1.5112,-2.1953,21.8878,0.964
513,-6.5117,-0.6052,0.7786,-1.5018,-2.2968,22.2085,0.9687
514,-6.2736,-0.6134,0.793,-1.5445,-2.1792,21.9804,0.9614
515,-6.2706,-0.617,0.7805,-1.5414,-2.1335,21.9467,0.9628
516,-6.3358,-0.6325,0.7814,-1.5454,-2.1063,22.0654,0.9623
517,-6.172,-0.6077,0.7849,-1.5408,-2.0512,21.79,0.9619
518,-6.2919,-0.6258,0.7786,-1.5511,-1.9986,21.9909,0.9633
519,-6.2973,-0.6186,0.7789,-1.5458,-2.0946,21.9923,0.9627
520,-6.3087,-0.6053,0.8037,-1.4906,-2.6745,21.964,0.9603
521,-6.3854,-0.608,0.8115,-1.5252,-2.4718,22.1483,0.9676
522,-6.3434,-0.621,0.7809,-1.5523,-2.0881,22.0776,0.962
523,-6.1552,-0.6063,0.7992,-1.553,-2.0979,21.8099,0.9641
524,-6.285,-0.6215,0.7822,-1.545,-2.0635,21.9777,0.9625
525,-6.2732,-0.6217,0.7812,-1.5509,-2.1758,21.9908,0.9638
526,-6.2075,-0.6211,0.7705,-1.5395,-2.1313,21.8503,0.962
527,-6.2174,-0.6125,0.797,-1.5406,-2.1913,21.8851,0.9626
528,-6.2774,-0.6163,0.7891,-1.5324,-2.2685,21.9611,0.9621
529,-6.3131,-0.6116,0.7676,-1.5329,-2.023,21.9558,0.9642
530,-6.203,-0.6145,0.7999,-1.5644,-2.306,21.9444,0.9622
531,-6.2835,-0.6145,0.7659,-1.5252,-2.0599,21.9022,0.9631
532,-6.3171,-0.6204,0.7798,-1.5466,-2.1084,22.028,0.9625
533,-6.3222,-0.6256,0.7749,-1.5331,-2.0461,21.9891,0.9636
534,-6.2532,-0.6185,0.8021,-1.5652,-2.1666,22.0038,0.9647
535,-6.322,-0.6194,0.7812,-1.5488,-2.1219,22.0464,0.9629
536,-6.2886,-0.6111,0.7825,-1.5352,-2.1699,21.957,0.9629
537,-6.2984,-0.6169,0.8016,-1.5505,-2.1614,22.0293,0.9623
538,-6.3321,-0.6247,0.7733,-1.5498,-1.9486,22.0298,0.9619
539,-6.3193,-0.6038,0.7813,-1.5246,-2.2369,21.9792,0.9633
540,-6.2906,-0.6099,0.7717,-1.5267,-2.1584,21.9285,0.962
541,-6.3245,-0.608,0.7537,-1.5114,-2.0435,21.9097,0.9647
542,-6.411,-0.6192,0.7638,-1.5239,-1.8817,22.0557,0.9631
543,-6.3022,-0.6198,0.7943,-1.5501,-2.2094,22.0393,0.9646
544,-6.2068,-0.6115,0.7901,-1.5511,-2.1347,21.8818,0.9634
545,-6.3708,-0.6314,0.7868,-1.5618,-2.0194,22.1488,0.9637
546,-6.3551,-0.6077,0.7699,-1.5346,-2.0458,22.0138,0.9633
547,-6.4157,-0.6176,0.7984,-1.5332,-2.3646,22.1941,0.9688
548,-6.3072,-0.6171,0.7815,-1.5515,-2.0979,22.0231,0.9635
549,-6.3889,-0.6074,0.7658,-1.5203,-2.2155,22.0496,0.9657
550,-6.3473,-0.6135,0.7768,-1.5367,-2.103,22.032,0.9621
551,-6.2692,-0.6164,0.7834,-1.5529,-2.2043,21.9869,0.9629
552,-6.3464,-0.6193,0.7974,-1.5644,-2.2501,22.148,0.9629
553,-6.3454,-0.6214,0.7906,-1.554,-2.1924,22.1134,0.963
554,-6.3874,-0.6056,0.8106,-1.4986,-2.6112,22.0905,0.9568
555,-6.2684,-0.6141,0.7828,-1.5424,-2.0818,21.9407,0.9634
556,-6.3506,-0.6133,0.7709,-1.5486,-1.9972,22.04,0.9631
557,-6.2601,-0.6174,0.7736,-1.5493,-2.1012,21.9405,0.9635
558,-6.3218,-0.6142,0.7758,-1.5334,-2.0771,21.9848,0.9618
559,-6.1483,-0.6177,0.7761,-1.5365,-2.2222,21.7725,0.9648
560,-6.297,-0.6288,0.7823,-1.5422,-2.1475,22.0034,0.9628
561,-6.2967,-0.6192,0.777,-1.5417,-2.1109,21.9838,0.9608
562,-6.4459,-0.5963,0.7918,-1.4673,-2.6281,22.0689,0.9555
563,-6.3671,-0.6073,0.8038,-1.4857,-2.5748,22.0214,0.9574
564,-6.3132,-0.6234,0.7926,-1.5559,-2.1772,22.0621,0.9647
