Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,1.89,,Stanford,5,,OH,1299,±1.8,311
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2,CCCC,1,431,Speceis,3.25,1.03,±1,Stanford,15.3,±5,CH,1666,±1,177
n_Alkane_Oxidation,Ar,99.15,0.64,CCCCCCCCCC,0.03,431,Species,0.81,1.69,,Stanford,8.9,±5,CH,1327, ±1.5,1099
n_Alkane_Oxidation,Ar,99.51,1,CCCCCCCCCC,0.03,431,Species,0.47,2.19,,Stanford,8.9,±5,CH,1479, ±1.5,375
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,3.81,±1,Stanford,15.3,±5,CH,1399,±1,243
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.32,0.6,CCCCCCCCCCCC,0.68,430,Speceis,21,6.12,±9.3,Stanford,15.3,,CH,1127,±1,797
n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22.9,,Stanford,5,±5,OH,978,±1,912
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,18.9,,Stanford,5,±5,OH,1049,±1,839
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.4,1,CCCCCCC,0.8,431,Species,8.8,1.15,,Stanford,15.3,±5,CH,1378,±1,385
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.95,±1,Stanford,14.13,±3,OH,1325,±0.7,859
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,20.3,,Stanford,5,±5,OH,1118,±1,346
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,3.8,±1,Stanford,15.3,±5,CH,1415,±1,189
n_heptane_methylcyclohexane,Ar,97.7,0.5,CCCCCCC,0.1,306.7,Species,2.2,15.81,,Stanford,7.5,,OH,1230,±1,698
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.2,±1,Stanford,15.3,±5,CH,1478,±1,275
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.43,0.51,CCCCCCCCCCCC,0.57,430,Speceis,21,5.76,±9.3,Stanford,15.3,,CH,1049,±1,2581
