Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.3028,0.61,CCCCCCCCCCCC,0.6972,430,Speceis,21,8.24,±9.3,Stanford,15.3,,CH,1124,±1,702
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.3703,0.55,CCCCCCCCCCCC,0.6297,430,Speceis,21,5.92,±9.3,Stanford,15.3,,CH,1345,±1,123
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.714,1,CCCCCCCCC,0.286,306,Species,4,1.8,±1,Stanford,14.13,±3,OH,1384,±0.7,382
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.24,,Stanford,15.3,±5,CH,1456, ±1.5,235
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306,Species,4,1.73,±1,Stanford,14.13,±3,OH,1263,±0.7,1391
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90,1.5,CCCCCCC,1.2,431,Species,8.8,1.23,,Stanford,15.3,±5,CH,1461,±1,189
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.33,±1,Stanford,15.3,±5,CH,1532,±1,156
n_Dodecane_Nano,N2,99.2015,1,CCCCCCCCCCCC,0.0485,430,Speceis,0.75,2.32,,Stanford,15.3,,CH,1381,,1020
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,96.25,1,CCCC,0.5,431,Speceis,3.25,1.17,±1,Stanford,15.3,±5,CH,1561,±1,131
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.4,2,CCCCCCC,0.4,431,Species,2.2,1.22,,Stanford,15.3,±5,CH,1676,±1,147
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.424,0.51,CCCCCCCCCCCC,0.576,430,Speceis,21,6.07,±9.3,Stanford,15.3,,CH,1140,±1,820
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.17,±1,Stanford,15.3,±5,CH,1432,±1,179
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.3,,Xi’an_Jiaotong,11.5,±2.36,CH,1400,±3,199
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1224,,253
iso_octane_heptane,Ar,99.4,1,CCCCCCC,0.05,216,Species,0.55,1.72,,Stanford,15.3,,CH3,1395,±1,878
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.714,1,CCCCCCCCC,0.286,306,Species,4,1.91,±1,Stanford,14.13,±3,OH,1330,±0.7,780
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,22.3,,Stanford,5,±5,OH,1015,±1,508
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,21.2,,Stanford,5,±5,OH,1163,±1,213
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,3.75,±1,Stanford,15.3,±5,CH,1433,±1,151
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4537,0.48,CCCCCCCCCCCC,0.5463,430,Speceis,21,5.69,±9.3,Stanford,15.3,,CH,1037,±1,2607
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431,Species,4.8,1.18,,Stanford,15.3,±5,CH,1381,±1,488
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4664,0.47,CCCCCCCCCCCC,0.5336,430,Speceis,21,6.19,±9.3,Stanford,15.3,,CH,1172,±1,524
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,10.27,,Stanford,5,,OH,1344,±1.8,85
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.14,,Stanford,15.3,±5,CH,1412,±1,265
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.711,1.14,CCCCCCCCCCCC,1.289,430,Speceis,21,5.82,±9.3,Stanford,15.3,,CH,964,±1,1175
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.22,,Stanford,15.3,±5,CH,1347,±1,323
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.6563,0.3,CCCCCCCCCCCC,0.3437,430,Speceis,21,5.06,±9.3,Stanford,15.3,,CH,1192,±1,1110
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,78.55,1,CCCCCCC,1.75,431,Species,19.7,1.19,,Stanford,15.3,±5,CH,1329,±1,382
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,21,,Stanford,5,±5,OH,1039,±1,826
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1108,,1339
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4344,0.5,CCCCCCCCCCCC,0.5656,430,Speceis,21,4.01,±9.3,Stanford,15.3,,CH,1146,±1,1027
n_heptane_oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.282,±1,Stanford,15.3,,OH,1375,±1,1661
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1173,,475
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.714,1,CCCCCCCCC,0.286,306,Species,4,1.86,±1,Stanford,14.13,±3,OH,1367,±0.7,499
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,4.03,,Stanford,15.3,±5,CH,1476,±1,90
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,23,,Stanford,5,±5,OH,1109,±1,278
n_Dodecane_Nano,N2,99.2055,1,CCCCCCCCCCCC,0.0445,430,Speceis,0.75,2.25,,Stanford,15.3,,CH,1330,,1592
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,18.7,,Stanford,5,±5,OH,1125,±1,188
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1141,,680
n_Dodecane / Vasu_2010_thesis,N2,96.304,0.5,CCCCCCCCCCCC,0.1,306,Species,3.596,15.77,,Stanford,5,±5,OH,1196,±1,701
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,3.47,±1,Stanford,14.13,±3,OH,1395,±0.7,316
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.63,,Stanford,15.3,±5,CH,1400,±1,190
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1,CCCCCCC,0.2,431,Species,2.2,2.08,,Stanford,15.3,±5,CH,1501,±1,150
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,78.55,1,CCCCCCC,1.75,431,Species,19.7,1.24,,Stanford,15.3,±5,CH,1386,±1,177
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4345,0.5,CCCCCCCCCCCC,0.5655,430,Speceis,21,6.32,±9.3,Stanford,15.3,,CH,1086,±1,1422
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,18.4,,Stanford,5,±5,OH,1082,±1,566
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,53.1,,Stanford,5,,OH,1063,±1.8,179
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.27,,Stanford,15.3,±5,CH,1409,±1,179
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.5944,0.36,CCCCCCCCCCCC,0.4056,430,Speceis,21,4.87,±9.3,Stanford,15.3,,CH,976,±1,6220
